,weekday,hour,region,count,total_amount_sum,duration_min,duration_sum,duration_max
265,1,13,7,76,717.35,3,22676,2099
266,1,14,1,1100,10215.670000000004,1,627768,86211
267,1,14,2,1670,14308.050000000005,1,559580,34741
268,1,14,3,9964,88626.82000000012,1,4698728,86369
269,1,14,4,4238,29005.779999999966,1,1474654,84967
270,1,14,5,10898,78226.00000000004,2,4551205,86193
271,1,14,6,802,5792.340000000002,2,215323,2614
272,1,14,7,79,775.69,26,37882,3771
273,1,15,1,1020,10391.78,1,635904,86209
274,1,15,2,1817,15873.250000000002,1,727056,86192
275,1,15,3,9223,86252.76000000015,1,4697560,86317
276,1,15,4,4607,31965.549999999952,1,1692958,86084
277,1,15,5,11405,80853.11000000009,1,4473224,86312
278,1,15,6,914,6557.990000000002,2,496893,85250
279,1,15,7,93,876.4499999999999,1,29298,2500
280,1,16,1,918,11116.600000000002,1,398102,86326
281,1,16,2,1670,17242.18,1,460038,6015
282,1,16,3,8851,96887.97000000016,1,3553490,86333
283,1,16,4,4272,35829.68999999994,1,1414814,86293
284,1,16,5,9755,80539.95000000011,2,3723274,86317
285,1,16,6,827,7228.570000000003,1,209059,2260
286,1,16,7,60,663.9200000000001,2,22595,3426
287,1,17,1,1084,10543.960000000003,2,463851,83033
288,1,17,2,2052,18901.679999999997,1,1011205,86335
289,1,17,3,9865,96273.05000000024,0,4766122,86379
290,1,17,4,4739,37713.69999999994,1,1704886,85933
291,1,17,5,10135,80183.83000000007,1,3941207,86254
292,1,17,6,1196,10150.149999999998,2,445355,85501
293,1,17,7,80,828.37,1,30681,2667
294,1,18,1,1206,12413.21,1,792937,86337
295,1,18,2,2667,24200.669999999987,1,1052428,86333
296,1,18,3,11199,107841.87000000027,0,5390408,86323
297,1,18,4,4986,39809.41999999993,1,1573071,86374
298,1,18,5,10372,81439.43000000007,0,3788562,86337
299,1,18,6,1187,9455.130000000001,0,385555,81357
300,1,18,7,111,1414.1499999999996,2,116736,85999
301,1,19,1,1135,10525.380000000003,2,320473,3492
302,1,19,2,2651,22251.289999999994,0,1210561,86271
303,1,19,3,9644,84940.38000000012,0,3625673,86311
304,1,19,4,4191,32183.829999999965,2,1742348,86078
305,1,19,5,8472,65154.86999999996,1,2719426,86141
306,1,19,6,836,6557.240000000002,3,199508,3000
307,1,19,7,72,763.8,3,25898,2786
308,1,20,1,910,7469.580000000002,1,398720,84752
309,1,20,2,2332,19450.629999999997,2,1049437,86274
310,1,20,3,7948,67011.26999999996,0,3082425,86311
311,1,20,4,3018,24301.369999999995,2,898253,86084
312,1,20,5,5858,42913.80999999995,1,1844918,86159
313,1,20,6,706,5516.410000000002,2,154781,2221
314,1,20,7,76,701.1199999999999,4,23626,2502
315,1,21,1,787,8176.4,0,203119,2648
316,1,21,2,2157,20417.09,1,921360,86221
