VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,02/08/2018 06:58:20 AM,02/08/2018 07:02:45 AM,1,0.6,1,N,170,233,2,5,0,0.5,0,0,0.3,5.8
2,02/08/2018 06:22:32 AM,02/08/2018 06:28:38 AM,2,1.25,1,N,151,236,2,7,0,0.5,0,0,0.3,7.8
1,02/08/2018 06:49:26 AM,02/08/2018 06:55:49 AM,1,1.7,1,N,107,229,1,7,0,0.5,1.95,0,0.3,9.75
1,02/08/2018 06:59:53 AM,02/08/2018 07:06:15 AM,1,1.9,1,N,229,79,1,7.5,0,0.5,1,0,0.3,9.3
2,02/08/2018 06:00:49 AM,02/08/2018 06:48:23 AM,5,15.77,1,N,132,112,1,48.5,0,0.5,9.86,0,0.3,59.16
1,02/08/2018 06:01:51 AM,02/08/2018 06:08:00 AM,1,2.4,1,N,236,161,1,8.5,0,0.5,1.86,0,0.3,11.16
1,02/08/2018 06:21:15 AM,02/08/2018 06:25:40 AM,1,0.8,1,N,262,236,2,5,0,0.5,0,0,0.3,5.8
1,02/08/2018 06:43:55 AM,02/08/2018 06:51:11 AM,1,1.6,1,N,236,140,1,7.5,0,0.5,1.25,0,0.3,9.55
1,02/08/2018 06:56:14 AM,02/08/2018 07:12:45 AM,1,8.7,1,N,140,231,2,25.5,0,0.5,0,0,0.3,26.3
1,02/08/2018 06:24:19 AM,02/08/2018 06:32:12 AM,1,1.1,1,N,100,161,1,7,0,0.5,1.56,0,0.3,9.36
1,02/08/2018 06:34:05 AM,02/08/2018 06:44:02 AM,1,1.5,1,N,161,140,1,8.5,0,0.5,1.85,0,0.3,11.15
2,02/08/2018 06:03:49 AM,02/08/2018 06:16:48 AM,1,2.19,1,N,79,186,2,11.5,0,0.5,0,0,0.3,12.3
2,02/08/2018 06:18:48 AM,02/08/2018 06:24:07 AM,1,0.82,1,N,186,230,1,5.5,0,0.5,1.26,0,0.3,7.56
2,02/08/2018 06:31:29 AM,02/08/2018 06:37:28 AM,1,1.03,1,N,48,161,1,6,0,0.5,1,0,0.3,7.8
2,02/08/2018 06:46:19 AM,02/08/2018 07:01:11 AM,1,3.51,1,N,162,231,2,13.5,0,0.5,0,0,0.3,14.3
1,02/08/2018 06:40:51 AM,02/08/2018 06:49:18 AM,1,2.2,1,N,141,107,2,9,0,0.5,0,0,0.3,9.8
1,02/08/2018 06:53:21 AM,02/08/2018 06:58:33 AM,1,1.7,1,N,107,229,2,7,0,0.5,0,0,0.3,7.8
2,02/08/2018 06:20:50 AM,02/08/2018 06:47:13 AM,2,10.4,1,N,48,138,1,31,0,0.5,11.27,5.76,0.3,48.83
2,02/08/2018 06:48:44 AM,02/08/2018 06:52:49 AM,1,0.53,1,N,209,231,1,4.5,0,0.5,1.59,0,0.3,6.89
2,02/08/2018 06:53:29 AM,02/08/2018 06:59:59 AM,1,2.15,1,N,231,68,1,8.5,0,0.5,1.86,0,0.3,11.16
1,02/08/2018 06:29:49 AM,02/08/2018 06:35:42 AM,1,1.1,1,N,162,163,1,6.5,0,0.5,1.45,0,0.3,8.75
1,02/08/2018 06:46:25 AM,02/08/2018 06:58:34 AM,1,1.6,1,N,100,137,1,9.5,0,0.5,1.5,0,0.3,11.8
2,02/08/2018 06:52:58 AM,02/08/2018 07:10:58 AM,1,3.71,1,N,229,144,2,14.5,0,0.5,0,0,0.3,15.3
1,02/08/2018 06:36:42 AM,02/08/2018 07:09:19 AM,1,15.2,1,N,148,32,2,43.5,0,0.5,0,0,0.3,44.3
2,02/08/2018 05:39:22 AM,02/08/2018 05:44:19 AM,1,0.82,1,N,186,234,1,5.5,0,0.5,0.76,0,0.3,7.06
2,02/08/2018 06:17:37 AM,02/08/2018 06:35:24 AM,1,10.63,1,N,233,138,1,30,0,0.5,7.31,5.76,0.3,43.87
2,02/08/2018 06:23:08 AM,02/08/2018 06:37:42 AM,2,3.73,1,N,263,234,2,14,0,0.5,0,0,0.3,14.8
2,02/08/2018 06:44:59 AM,02/08/2018 06:49:16 AM,2,0.82,1,N,48,230,1,5,0,0.5,1,0,0.3,6.8
2,02/08/2018 06:51:18 AM,02/08/2018 06:57:26 AM,2,1.32,1,N,163,170,1,6.5,0,0.5,1.46,0,0.3,8.76
1,02/08/2018 06:29:43 AM,02/08/2018 06:33:24 AM,1,1.2,1,N,163,186,1,5.5,0,0.5,1.26,0,0.3,7.56
1,02/08/2018 06:34:10 AM,02/08/2018 06:38:08 AM,1,1.2,1,N,186,161,2,5.5,0,0.5,0,0,0.3,6.3
1,02/08/2018 06:48:49 AM,02/08/2018 06:59:15 AM,1,1.8,1,N,48,229,1,9,0,0.5,1.95,0,0.3,11.75
1,02/08/2018 06:51:14 AM,02/08/2018 06:52:23 AM,1,0.3,1,N,236,236,2,3,0,0.5,0,0,0.3,3.8
1,02/08/2018 06:59:08 AM,02/08/2018 07:02:49 AM,1,0.8,1,N,236,141,1,5,0,0.5,1.16,0,0.3,6.96
2,02/08/2018 06:02:47 AM,02/08/2018 06:09:01 AM,1,1.46,1,N,97,49,1,6.5,0,0.5,0,0,0.3,7.3
2,02/08/2018 06:40:36 AM,02/08/2018 06:46:23 AM,1,1.25,1,N,249,246,1,6,0,0.5,1.7,0,0.3,8.5
2,02/08/2018 06:50:47 AM,02/08/2018 06:57:40 AM,1,1.37,1,N,68,234,1,7,0,0.5,1.4,0,0.3,9.2
2,02/08/2018 06:35:34 AM,02/08/2018 06:54:02 AM,5,2.37,1,N,186,237,1,12,0,0.5,2.56,0,0.3,15.36
2,02/08/2018 06:01:12 AM,02/08/2018 06:04:43 AM,1,1.04,1,N,162,107,2,5,0,0.5,0,0,0.3,5.8
2,02/08/2018 06:10:27 AM,02/08/2018 06:14:03 AM,1,0.66,1,N,234,234,1,4.5,0,0.5,1.06,0,0.3,6.36
2,02/08/2018 06:24:23 AM,02/08/2018 06:31:32 AM,1,1.41,1,N,186,230,2,7.5,0,0.5,0,0,0.3,8.3
2,02/08/2018 06:39:36 AM,02/08/2018 06:43:37 AM,1,0.97,1,N,100,234,2,5,0,0.5,0,0,0.3,5.8
2,02/08/2018 06:48:44 AM,02/08/2018 06:55:28 AM,1,1.29,1,N,164,161,1,7,0,0.5,1.56,0,0.3,9.36
1,02/08/2018 06:22:30 AM,02/08/2018 06:25:46 AM,1,0.7,1,N,48,230,2,4.5,0,0.5,0,0,0.3,5.3
1,02/08/2018 06:33:51 AM,02/08/2018 06:36:32 AM,1,0.6,1,N,48,230,2,4,0,0.5,0,0,0.3,4.8
1,02/08/2018 06:38:43 AM,02/08/2018 06:45:56 AM,1,1.3,1,N,100,234,1,7.5,0,0.5,2.05,0,0.3,10.35
1,02/08/2018 06:55:52 AM,02/08/2018 07:01:16 AM,1,1.1,1,N,164,162,1,6,0,0.5,1.7,0,0.3,8.5
1,02/08/2018 06:05:13 AM,02/08/2018 06:06:58 AM,1,0.5,1,N,113,249,2,4,0,0.5,0,0,0.3,4.8
1,02/08/2018 06:38:24 AM,02/08/2018 06:53:48 AM,1,3.4,1,N,144,161,1,13.5,0,0.5,2.15,0,0.3,16.45
1,02/08/2018 06:55:46 AM,02/08/2018 07:01:52 AM,1,1.4,1,N,163,186,1,6.5,0,0.5,0,0,0.3,7.3
1,02/08/2018 06:04:13 AM,02/08/2018 06:06:06 AM,1,0.5,1,N,68,186,1,4,0,0.5,0.95,0,0.3,5.75
1,02/08/2018 06:09:50 AM,02/08/2018 06:15:43 AM,1,1.2,1,N,186,163,2,6.5,0,0.5,0,0,0.3,7.3
1,02/08/2018 06:21:08 AM,02/08/2018 06:31:03 AM,2,1.8,1,N,186,162,1,9,0,0.5,1.95,0,0.3,11.75
1,02/08/2018 06:36:20 AM,02/08/2018 06:40:15 AM,2,0.9,1,N,162,161,1,5,0,0.5,1.15,0,0.3,6.95
1,02/08/2018 06:51:37 AM,02/08/2018 06:53:15 AM,1,0.2,1,N,162,170,4,3,0,0.5,0,0,0.3,3.8
1,02/08/2018 06:59:49 AM,02/08/2018 07:02:35 AM,1,0.7,1,N,161,163,2,4.5,0,0.5,0,0,0.3,5.3
1,02/08/2018 06:11:13 AM,02/08/2018 06:16:57 AM,1,1.6,1,N,100,162,1,7,0,0.5,0.5,0,0.3,8.3
1,02/08/2018 06:29:22 AM,02/08/2018 06:35:37 AM,1,1.4,1,N,100,234,2,7,0,0.5,0,0,0.3,7.8
1,02/08/2018 06:37:25 AM,02/08/2018 06:42:28 AM,1,1.1,1,N,234,162,1,6,0,0.5,1,0,0.3,7.8
1,02/08/2018 06:46:13 AM,02/08/2018 06:49:21 AM,1,0.5,1,N,161,230,1,4.5,0,0.5,0.9,0,0.3,6.2
1,02/08/2018 06:57:50 AM,02/08/2018 07:05:53 AM,2,1.6,1,N,50,162,1,7.5,0,0.5,1.65,0,0.3,9.95
1,02/08/2018 06:12:38 AM,02/08/2018 06:17:51 AM,1,1.1,1,N,48,161,1,5.5,0,0.5,1.25,0,0.3,7.55
1,02/08/2018 06:24:01 AM,02/08/2018 06:30:16 AM,1,2,1,N,142,236,2,7.5,0,0.5,0,0,0.3,8.3
1,02/08/2018 06:45:27 AM,02/08/2018 06:55:27 AM,1,2.5,1,N,238,230,1,10,0,0.5,2.15,0,0.3,12.95
1,02/08/2018 06:59:33 AM,02/08/2018 07:02:09 AM,1,1,1,N,50,142,2,5,0,0.5,0,0,0.3,5.8
1,02/08/2018 06:06:02 AM,02/08/2018 06:30:50 AM,1,5.5,1,N,186,179,1,21.5,0,0.5,4.45,0,0.3,26.75
1,02/08/2018 06:17:12 AM,02/08/2018 06:21:06 AM,1,0.9,1,N,43,230,2,5.5,0,0.5,0,0,0.3,6.3
1,02/08/2018 06:37:18 AM,02/08/2018 07:03:41 AM,1,10.9,1,N,43,138,1,31.5,0,0.5,7.6,5.76,0.3,45.66
2,02/08/2018 06:12:52 AM,02/08/2018 06:23:16 AM,5,1.95,1,N,162,186,1,9.5,0,0.5,1.54,0,0.3,11.84
2,02/08/2018 06:26:35 AM,02/08/2018 06:32:46 AM,5,1.42,1,N,68,230,1,6.5,0,0.5,1,0,0.3,8.3
2,02/08/2018 06:38:00 AM,02/08/2018 06:42:44 AM,5,1.28,1,N,186,50,1,6,0,0.5,2.04,0,0.3,8.84
2,02/08/2018 06:50:05 AM,02/08/2018 06:59:35 AM,5,1.71,1,N,186,230,1,8.5,0,0.5,2.32,0,0.3,11.62
2,02/08/2018 06:13:02 AM,02/08/2018 06:18:16 AM,5,0.88,1,N,48,230,1,5.5,0,0.5,1,0,0.3,7.3
2,02/08/2018 06:27:36 AM,02/08/2018 06:39:11 AM,5,1.23,1,N,48,162,2,8.5,0,0.5,0,0,0.3,9.3
2,02/08/2018 06:46:57 AM,02/08/2018 06:51:02 AM,5,0.92,1,N,229,141,1,5,0,0.5,1.16,0,0.3,6.96
2,02/08/2018 06:51:43 AM,02/08/2018 06:58:55 AM,5,1.01,1,N,141,162,1,6.5,0,0.5,1.46,0,0.3,8.76
2,02/08/2018 06:12:21 AM,02/08/2018 06:18:14 AM,1,2.59,1,N,141,74,1,8.5,0,0.5,1.86,0,0.3,11.16
